,Unnamed: 0,Top ten entry date,Single,Artist(s),Peak,Peak date,Weeks in top ten,Spotify id
1355,1355,September 18,The Night They Drove Old Dixie Down,Joan Baez,3,October 2,8,0uHYplBhwLYey7f9qAmnSM
1356,1356,September 18,Whatcha See Is Whatcha Get,The Dramatics,9,September 25,2,5lYpHO6ZO4Shys3GD8rav6
1357,1357,September 25,Superstar,The Carpenters,2,October 16,8,0k7V0datb9PpWRDGkB0xzq
1358,1358,October 2,Yo-Yo,The Osmonds,3,October 16,8,7KA4W4McWYRpgf0fWsJZWB
1359,1359,October 2,Do You Know What I Mean,Lee Michaels,6,October 9,5,0X2ckklp0uln3TRUH7JTpN
1360,1360,October 9,If You Really Love Me,Stevie Wonder,8,October 16,3,6Axz5VSkc4Bs8eXWQxnynE
1361,1361,October 9,Sweet City Woman,The Stampeders,8,October 23,3,7qJe0tZXtdxETkQx98jKx9
1362,1362,October 16,"Gypsys, Tramps & Thieves",Cher,1,November 6,9,6fsSZbNL7XP9gf1kJ2l155
1363,1363,October 23,Theme from Shaft,Isaac Hayes,1,November 20,9,7KMILVTQdVS4zQ8ilTcpRO
1364,1364,October 30,Imagine,John Lennon,3,November 13,6,7pKfPomDEeI4TPT6EOYjn9
1365,1365,October 30,Peace Train,Cat Stevens,7,November 6,5,4d0d2llNcQIHmaCgYTrODQ
1366,1366,October 30,I've Found Someone of My Own,The Free Movement,5,November 13,3,4f01Vg5ijzmTu9CI9jPTAR
1367,1367,November 6,Inner City Blues (Make Me Wanna Holler),Marvin Gaye,9,November 6,2,5hReWjUHqPqkHi31G7izL4
1368,1368,November 13,Have You Seen Her,The Chi-Lites,3,December 11,8,3hRJmeg1d5bXdmUylhZbiO
1369,1369,November 20,Family Affair,Sly and the Family Stone,1,December 4,9,4f3u4Oy0JqJRIhMmTqRcxj
1370,1370,November 20,Baby I'm-a Want You,Bread,3,November 27,5,52VIdyKqp1pJRSyUQaxKUA
1371,1371,November 20,Got to Be There,Michael Jackson,4,December 11,9,63gcHyuhAC8G2C0bVQUOJI
1372,1372,November 27,Desiderata,Les Crane,8,December 4,3,5V6wfV3Mkvd30zpSoKjsOh
1373,1373,November 27,Rock Steady,Aretha Franklin,9,November 27,2,7rvGZDlfqCjY9EWEUg3Xs6
1374,1374,December 4,An Old Fashioned Love Song,Three Dog Night,4,December 18,5,0mkRIQZWFIdNPoIlr0owYd
1375,1375,December 11,Brand New Key,Melanie,1,December 25,10,7da5B9d2oVV16YSzXVxmrR
1376,1376,December 11,All I Ever Need Is You,Sonny & Cher,7,December 25,3,359IJq43c4SVrf5ZeUDiFl
1377,1377,December 18,Cherish,David Cassidy,9,December 25,4,4a3mIp7Mrmom2SXd3S81m7
1378,1378,December 18,American Pie,Don McLean,1,January 15,11,1fDsrQ23eTAVFElUMaf38X
1379,1379,December 25,Scorpio,Dennis Coffey,6,January 8,6,1P8lIrb4yLlg1nzAjhhcfi
